Episode,Score,Avg_Score_100
1,-18.035051546391664,-18.035051546391664
2,-17.922222222222096,-17.97863688430688
3,-17.909225092250814,-17.95549962028819
4,-17.999999999999737,-17.966624715216078
5,-51.052996845427515,-24.583899141258364
6,-17.899999999999935,-23.46991595104863
7,-17.944947735191597,-22.680634777354765
8,-37.51904761904857,-24.53543638256649
9,-18.056338028168923,-23.815536565411207
10,-18.04999999999992,-23.238982908870078
11,-17.90734824281145,-22.754288848319295
12,-17.937209302325492,-22.35286555281981
13,-17.952091254752748,-22.0143444529685
14,-18.092929292929206,-21.73424337010855
15,-18.002236421725144,-21.485442906882994
16,-37.85732484076507,-22.508685527750615
17,-19.75806451612893,-22.346884291772867
18,-17.995057034220174,-22.105116110797717
19,-17.956338028168858,-21.88675936960672
20,-25.458536585365785,-22.065348230394676
21,-17.930769230769084,-21.86846351612679
22,-18.096887159532788,-21.6970282271907
23,-17.984615384615196,-21.53561897316568
24,-26.779439252336516,-21.7541114847978
25,-21.210299003322163,-21.73235898553877
26,-19.888198757763895,-21.66142974600897
27,-20.7770392749244,-21.628674543376206
28,-19.0035971223019,-21.53492177833784
29,-18.017647058823048,-21.41363644318216
30,-41.17987421383716,-22.072511035537325
31,-17.866903914590694,-21.936846289700338
32,-17.983333333333285,-21.813299009813868
33,-18.038834951456227,-21.698921311075758
34,-17.950557620817722,-21.588675320185814
35,-21.786075949366996,-21.59431533816242
36,-17.993069306930643,-21.49428072618376
37,-18.039926739926585,-21.40091980763627
38,-44.43519061583684,-22.00708482890471
39,-17.976923076922827,-21.90374734808466
40,-25.381818181818197,-21.990699118927996
41,-18.0153374233128,-21.893739077571524
42,-20.193069306930624,-21.853246940175314
43,-17.942857142856933,-21.762307642563258
44,-17.860431654676155,-21.67362864283855
45,-17.969930069929994,-21.59132423010725
46,-17.828621908127058,-21.509526353542466
47,-18.047540983606392,-21.435867090352335
48,-17.989041095890087,-21.364058215467704
49,-20.852317880794647,-21.35361453516825
50,-17.802996254681425,-21.282602169558512
51,-19.15488215488195,-21.240882169270737
52,-18.048226950354543,-21.17948495352235
53,-17.95481727574741,-21.11864216714924
54,-21.045016077170388,-21.11727872103852
55,-22.732258064516085,-21.146641981829024
56,-18.070588235293876,-21.091712450640898
57,-17.953872053871756,-21.03666261911863
58,-19.498507462686483,-21.010142702628425
59,-17.961484098939835,-20.958470522904886
60,-17.921052631578874,-20.90784689138279
61,-28.91618497109833,-21.039131122197798
62,-22.725748502993973,-21.06633462833967
63,-18.054716981131797,-21.018531173622087
64,-17.997338403041237,-20.971325036581757
65,-20.232258064516074,-20.959954775473054
66,-18.044947735191524,-20.915788002135457
67,-17.941791044775847,-20.871399987846505
68,-17.986206896551664,-20.828970677680406
69,-17.851724137930944,-20.785822177104325
70,-17.98856088560871,-20.74586130151153
71,-17.982608695652118,-20.706942250724776
72,-18.013559322033828,-20.669534154492958
73,-18.00734824281139,-20.633065854332937
74,-17.93564013840818,-20.596614155469087
75,-17.92857142857117,-20.56104025244378
76,-17.98943894389427,-20.52720339312076
77,-18.00684931506835,-20.494471521977225
78,-17.913919413919267,-20.461387520591867
79,-18.015254237288104,-20.430423808144987
80,-17.835640138408216,-20.397989012273275
81,-17.97981651376142,-20.368135030810162
82,-18.02105263157885,-20.339512074721977
83,-19.396091205211647,-20.328145558221852
84,-18.041791044775888,-20.3009270521094
85,-17.975432525951422,-20.27356829297813
86,-17.965217391303984,-20.24672700342378
87,-17.993069306930625,-20.220822891969835
88,-17.865886287625365,-20.19406224873865
89,-21.41124260355026,-20.20773843250058
90,-17.919188191881645,-20.182310096493705
91,-17.966903914590628,-20.15796497361565
92,-17.99273927392729,-20.134429911662515
93,28.201626016258885,-19.614687374803143
94,-17.92784810126571,-19.59674227614849
95,-17.982822085889488,-19.579753642566818
96,-18.433933933933893,-19.56781802060189
97,-18.063309352517752,-19.552307621961848
98,-18.034482758620566,-19.536819613152243
99,-17.818918918918662,-19.519467080887257
100,-18.052631578947093,-19.504798725867854
101,-17.921404682274186,-19.50366225722668
102,-17.85806451612894,-19.503020680165747
103,-17.922222222222047,-19.503150651465457
104,-19.699999999999953,-19.520150651465464
105,-18.0801393728219,-19.190422076739406
106,-17.935051546391705,-19.19077259220332
107,-4.549999999999728,-19.0568231148514
108,-17.90258899676358,-18.86065852862855
109,-17.967509025270473,-18.85977023859957
110,-17.88854489164081,-18.85815568751598
111,-17.918518518518262,-18.858267390273046
112,-17.971428571428497,-18.85860958296408
113,-17.942105263157664,-18.858509723048126
114,-17.993069306930604,-18.857511123188143
115,-17.94022988505719,-18.85689105782146
116,-17.99999999999974,-18.658317809413806
117,-18.03529411764698,-18.64109010542899
118,-18.066666666666542,-18.641806201753454
119,-17.928571428571125,-18.641528535757477
120,-19.45806451612894,-18.581523815065104
121,-17.825925925925873,-18.580475382016676
122,-17.983333333333263,-18.579339843754678
123,-18.085815602836675,-18.580351845936896
124,-17.823376623376475,-18.490791219647296
125,-18.031578947368313,-18.459004019087757
126,-18.024561403508635,-18.440367645545205
127,-18.019188191881753,-18.412789134714778
128,-17.935211267605528,-18.402105276167816
129,-21.581609195402226,-18.437744897533605
130,-17.949809885931273,-18.205444254254544
131,-18.017647058823265,-18.206951685696872
132,-17.92650176678415,-18.206383370031382
133,-17.83191489361678,-18.204314169452985
134,-17.994117647058566,-18.204749769715395
135,-17.902996254681494,-18.16591897276854
136,-17.935211267605407,-18.165340392375285
137,-18.09339933993378,-18.165875118375357
138,-17.92171253822628,-17.900740337599252
139,-17.89505300353333,-17.899921636865358
140,-17.954716981131806,-17.825650624858493
141,-18.0846153846153,-17.82634340447152
142,-17.999999999999737,-17.804412711402207
143,8.786245353160185,-17.53712168644204
144,-17.88873720136503,-17.537404741908926
145,-17.963576158940178,-17.53734120279903
146,-18.03474320241685,-17.539402415741925
147,-17.977464788732178,-17.538701653793186
148,-17.91773049645355,-17.537988547798818
149,-18.09999999999983,-17.51046536899087
150,-17.98772563176876,-17.512312662761744
151,-17.86148409893967,-17.49937868220232
152,-17.952317880794496,-17.49841959150672
153,-18.049122807017042,-17.499362646819417
154,-17.90299625468136,-17.467942448594528
155,-17.91533742331276,-17.419773242182494
156,-17.949829351535517,-17.41856565334491
157,-17.966666666666633,-17.41869359947286
158,-18.054716981131794,-17.404255694657316
159,-17.523426573426306,-17.39987511940218
160,8.203112840467103,-17.138633464681718
161,-18.02574850299391,-17.029729100000676
162,-17.952941176470556,-16.98200102673544
163,-20.028358208955126,-17.001737439013674
164,-17.949809885931273,-17.001262153842575
165,-17.90457516339862,-16.9779853248314
166,-18.063025210083772,-16.97816609958032
167,-18.087179487179405,-16.97961998400436
168,-18.086868686868268,-16.980626601907524
169,-16.434615384615057,-16.966455514374363
170,23.6627450980382,-16.54994245453789
171,8.146245059288658,-16.288653916988483
172,-19.458171745152256,-16.30310004121967
173,-17.97443609022534,-16.302770919693806
174,-17.91304347826063,-16.30254495309233
175,-17.974999999999937,-16.30300923880662
176,15.361048689138306,-15.969504362476295
177,-17.81288343558266,-15.967564703681441
178,-18.05753424657517,-15.969000852008001
179,-17.879439252336383,-15.967642702158484
180,-18.031578947368235,-15.969602090248083
181,-18.09480968858102,-15.97075202199628
182,-18.057664233576368,-15.971118138016255
183,-17.975675675675514,-15.956913982720893
184,-17.83225806451605,-15.954818652918295
185,-18.05633802816876,-15.955627707940469
186,-8.480534351144733,-15.860780877538875
187,18.906976744185457,-15.491780417027714
188,-17.987725631768694,-15.492998810469148
189,-18.054545454545167,-15.459431838979096
190,-17.966666666666477,-15.459906623726944
191,-17.884615384615216,-15.459083738427191
192,-17.920068027210636,-15.458357025960025
193,-17.986206896551487,-15.920235355088128
194,9.615384615384581,-15.644803027921625
195,-17.89862542955301,-15.643961061358262
196,-17.940540540540272,-15.639027127424324
197,12.374193548386282,-15.334652098415283
198,-17.98452012383895,-15.334152472067467
199,-18.057664233576368,-15.336539925214044
200,-17.9515923566877,-15.335529532991451
201,-17.910299003322013,-15.33541847620193
202,-18.014814814814514,-15.336985979188785
203,-17.827645051194317,-15.33604020747851
204,-18.029801324503268,-15.319338220723544
205,-18.080419580419377,-15.319341022799517
206,11.650847457626448,-15.023482032759336
207,-8.385211267605369,-15.06183414543539
208,-17.82570532915345,-15.06106530875929
209,-17.961484098939877,-15.061005059495983
210,-17.91578947368395,-15.061277505316413
211,11.61347517730498,-14.76595756835818
212,-17.952631578947287,-14.76576959843337
213,-17.98282208588944,-14.766176766660685
214,26.052529182877798,-14.325720781762605
215,-17.913588850173998,-14.325454371413771
